tools, version, cpe
Keycloak, 25.0.4, cpe:2.3:a:redhat:keycloak:25.0.4:*:*:*:*:*:*:*
Nexus, 3.76.1, cpe:2.3:a:sonatype:nexus_repository_manager:3.76.1:*:*:*:*:*:*:*
Jenkins, 2.479, cpe:2.3:a:jenkins:jenkins:2.479:*:*:*:-:*:*:*
Kubernetes, 1.32.6, cpe:2.3:a:kubernetes:kubernetes:1.32.6:*:*:*:*:*:*:*
Rancher, 2.11.3, cpe:2.3:a:rancher:rancher:2.11.3:*:*:*:*:*:*:*
Longhorn, 1.9.1, cpe:2.3:a:linuxfoundation:longhorn:1.9.1:*:*:*:*:*:*:*
Ansible, 2.15.3, cpe:2.3:a:redhat:ansible:2.15.3:-:*:*:*:*:*:*
EJBCA, 7.11, cpe:2.3:a:keyfactor:ejbca:7.11.0:*:*:*:*:*:*:*
istio, 1.26.2, cpe:2.3:a:istio:istio:1.26.2:*:*:*:*:*:*:*
Logstash, 8.18.2, cpe:2.3:a:elastic:logstash:8.18.2:*:*:*:*:*:*:*
Filebeat, 8.18.2, cpe:2.3:a:elastic:filebeat:8.18.2:*:*:*:*:*:*:*
Postgresql, 15.3.0, cpe:2.3:a:postgresql:postgresql:15.3:*:*:*:*:*:*:*
Quarkus, 3.20, cpe:2.3:a:quarkus:quarkus:3.20:*:*:*:*:*:*:*
Prometheus, 2.42.0, cpe:2.3:a:prometheus:prometheus:2.42.0:*:*:*:*:*:*:*
Grafana, 9.4.7, cpe:2.3:a:grafana:grafana:9.4.7:*:*:*:*:*:*:*
Kafka, 3.4.0, cpe:2.3:a:apache:kafka:3.4.0:-:*:*:*:*:*:*
Zookeeper, 3.8.1, cpe:2.3:a:apache:zookeeper:3.8.1:*:*:*:*:*:*:*
Sonar, 10.8.1, cpe:2.3:a:sonarsource:sonarqube:10.8.1:*:*:*:*:*:*:*
Defectdojo, 2.42.2, cpe:2.3:a:owasp:defectdojo:2.42.2:*:*:*:*:*:*:*
DependencyTrack, 4.12.1, cpe:2.3:a:owasp:dependency-track:4.12.1:*:*:*:*:*:*:*
Docker, 24.0.6, cpe:2.3:a:docker:docker:24.0.6:*:*:*:-:*:*:*
Helm, 3.12.3, cpe:2.3:a:helm:helm:3.12.3:*:*:*:*:*:*:*
Nginx, 1.25.2, cpe:2.3:a:f5:nginx:1.25.2:*:*:*:*:*:*:*
Maven, 3.9.5, cpe:2.3:a:apache:maven:3.9.5:*:*:*:*:*:*:*
